presentcrop,nextcrop
rice,soyabean
rice,gram
wheat,gram
wheat,sunflowers
wheat,maize
wheat,sugarcane
cotton,wheat
cotton,alfalfa
cotton,beans
jute,mustard
jute,gram
jute,peas
sugarcane,rice
sugarcane,cotton
sugarcane,turmeric
jowar,gram
maize,beans
pulses,wheat
ragi,maize
ragi,rice
gram,rice
gram,maize
oilseed,pulses
oilseed,wheat
oilseed,beans
tobacco,wheat
potato,onion
potato,beans
potato,cabbage
peas,cucumber
peas,wheat
peas,barley
peas,potato
onion,cabbage
tomato,beans
tomato,peas
cabbage,tomato
cabbage,potato
guava,Not required
banana,Not required
parval,beans
parval,peas
soyabean,wheat
turmeric,rice
turmeric,sugarcane
red chili,beans
red chili,peas
barley,alfalfa
barley,beans
mustard,alfalfa
mustard,sunflowers
sesame,cotton
sesame,wheat
lobia,tomato
lobia,cabbage
cucumber,tomato
groundnut,maize
lemon,beans
lemon,peas
beans,tomato
beans,cabbage
sunflowers,barley
sunflowers,peas
alfalfa,maize
alfalfa,wheat
alfalfa,barley
